2455319.91182 17.681 0.038 4.25 3829.0
2455320.64247 17.642 0.024 5.21 870.0
2455320.68705 17.678 0.025 5.20 805.0
2455320.73097 17.638 0.022 4.72 766.0
2455320.76818 17.584 0.022 4.86 716.0
2455320.80590 17.637 0.024 4.42 1277.0
2455320.84912 17.674 0.023 5.08 736.0
2455320.88751 17.662 0.020 4.17 813.0
2455320.92908 17.632 0.025 5.03 1175.0
2455321.71528 17.716 0.024 4.93 681.0
2455321.75273 17.681 0.023 4.62 664.0
2455321.79238 17.680 0.026 5.38 674.0
2455321.83078 17.588 0.030 6.59 705.0
2455321.87208 17.666 0.024 5.08 695.0
2455321.90947 17.728 0.027 5.45 734.0
2455322.69576 17.668 0.021 4.43 602.0
2455322.76127 17.630 0.018 4.03 1134.0
2455322.83835 17.665 0.022 5.31 713.0
2455323.66592 17.728 0.028 5.59 693.0
2455323.73217 17.657 0.025 5.30 632.0
2455323.77046 17.685 0.021 4.59 628.0
2455323.81056 17.674 0.022 4.96 662.0
2455323.85184 17.667 0.021 4.57 709.0
2455323.89043 17.663 0.022 4.64 759.0
2455323.92789 17.739 0.023 4.48 795.0
2455324.70432 17.695 0.028 5.49 633.0
2455324.74345 17.648 0.021 4.55 575.0
2455324.78085 17.670 0.025 5.40 605.0
2455324.82098 17.686 0.025 5.34 609.0
2455324.85991 17.720 0.024 4.75 648.0
2455324.89727 17.663 0.022 5.39 666.0
2455324.93783 17.655 0.029 4.81 1832.0
2455325.68754 17.586 0.020 4.63 568.0
2455325.72404 17.619 0.019 4.40 532.0
2455325.76221 17.615 0.021 4.62 525.0
2455325.79950 17.625 0.019 4.15 525.0
2455325.84775 17.655 0.023 4.96 594.0
2455325.88781 17.641 0.022 5.77 619.0
2455325.92829 17.646 0.026 6.10 744.0
2455326.63560 17.585 0.027 6.21 620.0
2455326.72205 17.617 0.022 4.95 548.0
2455326.76011 17.648 0.021 4.59 549.0
2455326.79851 17.618 0.018 4.09 533.0
2455326.83783 17.625 0.019 4.40 578.0
2455326.87648 17.586 0.021 4.65 649.0
2455326.91372 17.591 0.021 4.71 688.0
2455327.64480 17.715 0.020 4.42 519.0
2455327.74700 17.638 0.019 3.91 505.0
2455327.78548 17.628 0.022 4.52 540.0
2455327.82433 17.703 0.024 5.19 574.0
2455327.86320 17.639 0.022 4.62 628.0
2455327.90138 17.641 0.020 4.38 644.0
2455327.93912 17.651 0.031 4.48 2202.0
2455328.67215 17.655 0.020 4.18 575.0
2455328.74072 17.699 0.020 4.16 551.0
2455328.77929 17.621 0.019 4.32 548.0
2455328.81926 17.676 0.022 4.65 575.0
2455328.85785 17.667 0.022 4.95 587.0
2455328.89553 17.639 0.019 4.40 647.0
2455328.93302 17.710 0.026 4.94 947.0
2455334.61842 17.669 0.028 6.43 598.0
2455334.68455 17.697 0.041 8.55 596.0
2455334.76488 17.648 0.020 4.44 553.0
2455334.82221 17.639 0.022 5.25 540.0
2455334.86276 17.684 0.024 5.61 576.0
2455334.90329 17.682 0.027 6.06 627.0
2455335.74763 17.630 0.019 4.34 562.0
2455335.78679 17.649 0.020 4.83 553.0
2455335.82682 17.731 0.022 4.86 568.0
2455335.86466 17.645 0.021 4.86 600.0
2455335.90219 17.670 0.029 6.18 663.0
2455335.94126 17.694 0.035 5.50 1706.0
2455336.84609 17.655 0.021 4.43 603.0
2455336.91133 17.729 0.024 4.25 702.0
2455337.75771 17.656 0.019 4.42 529.0
2455337.79713 17.611 0.019 4.62 565.0
2455337.83554 17.626 0.025 5.45 651.0
2455337.87389 17.631 0.029 6.62 710.0
2455338.75498 17.598 0.021 5.16 633.0
2455338.79417 17.644 0.028 6.11 672.0
2455338.83580 17.667 0.033 6.89 767.0
2455338.89539 17.689 0.036 7.49 776.0
2455339.67063 17.597 0.028 6.34 764.0
2455339.70836 17.579 0.024 5.24 775.0
2455339.80197 17.611 0.024 4.99 787.0
2455339.86775 17.609 0.028 6.08 849.0
2455339.90795 17.604 0.036 7.34 923.0
2455339.94580 17.628 0.035 5.60 1865.0
2455340.69390 17.584 0.022 4.63 964.0
2455340.78121 17.648 0.026 5.50 740.0
2455340.83676 17.673 0.022 4.71 782.0
2455340.87518 17.613 0.027 5.85 842.0
2455340.91296 17.587 0.038 7.76 972.0
2455341.58699 17.658 0.030 5.69 1023.0
2455341.62522 17.614 0.023 4.92 815.0
2455341.73171 17.665 0.019 3.82 692.0
2455341.80601 17.643 0.021 4.17 790.0
2455341.84420 17.620 0.022 4.40 791.0
2455341.88201 17.622 0.020 4.34 776.0
2455341.92239 17.652 0.022 4.63 779.0
2455342.59661 17.633 0.036 6.60 1084.0
2455342.63395 17.684 0.038 7.18 971.0
2455342.67157 17.755 0.030 5.29 876.0
2455342.70902 17.624 0.024 4.92 835.0
2455342.74756 17.604 0.023 5.07 818.0
2455342.79172 17.672 0.030 5.82 933.0
2455342.82977 17.601 0.024 5.04 888.0
2455342.86773 17.623 0.029 5.85 981.0
2455342.90552 17.594 0.029 5.89 1013.0
2455342.94339 17.673 0.046 7.78 1337.0
2455343.61482 17.632 0.033 5.99 1260.0
2455343.65250 17.566 0.028 5.58 1111.0
2455343.69022 17.601 0.024 4.73 1012.0
2455343.72830 17.635 0.024 4.73 947.0
2455343.76714 17.603 0.024 5.02 951.0
2455343.80713 17.658 0.024 4.73 1015.0
2455343.84565 17.656 0.024 4.68 1071.0
2455343.89645 17.572 0.025 4.94 1173.0
2455343.93428 17.659 0.031 5.57 1299.0
2455348.66221 17.597 0.021 4.78 679.0
2455348.72743 17.609 0.025 5.43 676.0
2455348.79271 17.624 0.023 5.18 672.0
2455348.83103 17.617 0.022 4.86 708.0
2455348.87487 17.604 0.030 6.21 821.0
2455348.91518 17.662 0.025 5.31 796.0
2455349.59049 17.624 0.029 7.10 675.0
2455349.67309 17.549 0.023 5.06 969.0
2455349.74127 17.568 0.023 4.90 1018.0
2455349.80624 17.663 0.023 4.93 971.0
2455349.84401 17.593 0.023 5.33 1169.0
2455350.64374 17.565 0.032 7.87 583.0
2455350.68146 17.618 0.027 5.98 610.0
2455350.71996 17.702 0.035 7.30 618.0
2455351.57996 17.610 0.027 6.38 646.0
2455351.63742 17.645 0.022 5.27 540.0
2455351.71571 17.665 0.021 4.67 542.0
2455351.80032 17.688 0.028 5.71 708.0
2455351.87843 17.599 0.029 6.30 778.0
2455351.91640 17.556 0.026 6.14 940.0
2455352.64101 17.614 0.023 5.11 564.0
2455352.73195 17.706 0.019 3.92 573.0
2455352.88458 17.679 0.025 4.89 786.0
2455352.92220 17.643 0.025 5.14 905.0
2455353.61966 17.698 0.024 4.79 572.0
2455353.69976 17.660 0.019 4.07 537.0
2455353.76962 17.660 0.022 4.68 600.0
2455353.80768 17.621 0.018 3.82 621.0
2455353.85218 17.655 0.022 4.32 672.0
2455353.89646 17.654 0.023 4.86 787.0
2455354.64458 17.690 0.023 4.92 546.0
2455354.73275 17.707 0.024 4.83 566.0
2455354.82850 17.685 0.022 4.09 690.0
2455354.86886 17.646 0.023 4.49 755.0
2455354.90744 17.651 0.029 5.60 894.0
2455355.58542 17.684 0.020 4.36 621.0
2455355.66915 17.704 0.021 4.46 587.0
2455355.75734 17.679 0.022 4.73 628.0
2455355.81297 17.597 0.025 5.60 736.0
2455355.86121 17.591 0.030 6.38 826.0
